family	params	carrier	laws_satisfied	pairs_covered	pairs
linear/Z_m	m=23 a=7 b=2	finite:23	4	42	1286!=3,1286!=8,1286!=23,1286!=47,1286!=99,1286!=151,1286!=203,1286!=255,1286!=307,1286!=326,1286!=359,1286!=375,1286!=411,1286!=614,1286!=817,1286!=1020,1286!=1083,1286!=1426,1286!=1629,1286!=1832,1286!=2035,1286!=2238,1286!=2301,1286!=2441,1286!=2504,1286!=2644,1286!=2847,1286!=3050,1286!=3253,1286!=3319,1286!=3456,1286!=3522,1286!=3659,1286!=3715,1286!=3722,1286!=3862,1286!=3915,1286!=4065,1286!=4118,1286!=4380,1286!=4435,1286!=4470
linear/Z_m	m=23 a=8 b=16	finite:23	66	2	2700!=2709,2700!=2736
linear/Z_m	m=23 a=10 b=14	finite:23	50	135	511!=3079,1076!=26,1076!=65,1076!=73,1076!=102,1076!=117,1076!=125,1076!=160,1076!=167,1076!=212,1076!=229,1076!=258,1076!=263,1076!=335,1076!=362,1076!=429,1076!=437,1076!=464,1076!=473,1076!=504,1076!=513,1076!=546,1076!=562,1076!=617,1076!=632,1076!=640,1076!=679,1076!=704,1076!=826,1076!=833,1076!=872,1076!=879,1076!=910,1076!=917,1076!=949,1076!=962,1076!=1029,1076!=1046,1076!=1085,1076!=1110,1076!=1119,1076!=1226,1076!=1231,1076!=1278,1076!=1323,1076!=1455,1076!=1482,1076!=1491,1076!=1518,1076!=1526,1076!=1632,1076!=1654,1076!=1658,1076!=1662,1076!=1682,1076!=1721,1076!=1729,1076!=1790,1076!=1838,1076!=1850,1076!=1861,1076!=1873,1076!=1885,1076!=1897,1076!=1925,1076!=1967,1076!=2044,1076!=2053,1076!=2060,1076!=2100,1076!=2125,1076!=2267,1076!=2300,1076!=2328,1076!=2330,1076!=2449,1076!=2457,1076!=2470,1076!=2485,1076!=2503,1076!=2533,1076!=2541,1076!=2586,1076!=2653,1076!=2663,1076!=2672,1076!=2699,1076!=2744,1076!=2850,1076!=2863,1076!=2875,1076!=2910,1076!=2939,1076!=3053,1076!=3058,1076!=3066,1076!=3075,1076!=3079,1076!=3083,1076!=3094,1076!=3113,1076!=3271,1076!=3279,1076!=3343,1076!=3352,1076!=3459,1076!=3474,1076!=3482,1076!=3518,1076!=3526,1076!=3558,1076!=3607,1076!=3668,1076!=3675,1076!=3761,1076!=3871,1076!=3888,1076!=3924,1076!=3954,1076!=4068,1076!=4073,1076!=4127,1076!=4131,1076!=4135,1076!=4146,1076!=4157,1076!=4290,1076!=4321,1076!=4369,1076!=4383,1076!=4408,1076!=4443,1076!=4585,1076!=4636,1076!=4656
linear/Z_m	m=23 a=14 b=10	finite:23	50	138	1289!=513,2507!=513,2531!=16,2531!=55,2531!=72,2531!=118,2531!=127,2531!=167,2531!=179,2531!=209,2531!=222,2531!=228,2531!=261,2531!=274,2531!=315,2531!=384,2531!=419,2531!=436,2531!=466,2531!=474,2531!=500,2531!=513,2531!=528,2531!=575,2531!=633,2531!=642,2531!=669,2531!=677,2531!=703,2531!=833,2531!=845,2531!=883,2531!=909,2531!=916,2531!=1026,2531!=1039,2531!=1045,2531!=1075,2531!=1086,2531!=1098,2531!=1122,2531!=1184,2531!=1229,2531!=1242,2531!=1279,2531!=1325,2531!=1434,2531!=1444,2531!=1452,2531!=1482,2531!=1525,2531!=1647,2531!=1655,2531!=1682,2531!=1691,2531!=1722,2531!=1731,2531!=1764,2531!=1780,2531!=1840,2531!=1851,2531!=1885,2531!=1898,2531!=1913,2531!=1921,2531!=1934,2531!=1949,2531!=2054,2531!=2061,2531!=2101,2531!=2125,2531!=2137,2531!=2254,2531!=2263,2531!=2304,2531!=2327,2531!=2450,2531!=2467,2531!=2497,2531!=2506,2531!=2540,2531!=2650,2531!=2660,2531!=2699,2531!=2710,2531!=2722,2531!=2737,2531!=2743,2531!=2776,2531!=2865,2531!=2873,2531!=2903,2531!=2912,2531!=2936,2531!=3056,2531!=3068,2531!=3079,2531!=3091,2531!=3103,2531!=3115,2531!=3143,2531!=3185,2531!=3261,2531!=3278,2531!=3306,2531!=3334,2531!=3345,2531!=3353,2531!=3414,2531!=3475,2531!=3484,2531!=3548,2531!=3556,2531!=3675,2531!=3687,2531!=3748,2531!=3868,2531!=3881,2531!=3887,2531!=3951,2531!=3962,2531!=3973,2531!=4023,2531!=4071,2531!=4084,2531!=4130,2531!=4164,2531!=4275,2531!=4307,2531!=4321,2531!=4409,2531!=4443,2531!=4479,2531!=4605,2531!=4636,2531!=4684,2913!=513,3116!=513
linear/Z_m	m=23 a=16 b=8	finite:23	66	2	907!=836,907!=843
linear/Z_m	m=23 a=18 b=6	finite:23	49	3	511!=3079,2700!=2709,2700!=2736
linear/Z_m	m=23 a=19 b=5	finite:23	45	136	464!=2457,464!=3066,2531!=16,2531!=55,2531!=72,2531!=118,2531!=127,2531!=167,2531!=179,2531!=209,2531!=222,2531!=228,2531!=261,2531!=274,2531!=315,2531!=384,2531!=419,2531!=436,2531!=466,2531!=474,2531!=500,2531!=513,2531!=528,2531!=575,2531!=633,2531!=642,2531!=669,2531!=677,2531!=703,2531!=833,2531!=845,2531!=883,2531!=909,2531!=916,2531!=1026,2531!=1039,2531!=1045,2531!=1075,2531!=1086,2531!=1098,2531!=1122,2531!=1184,2531!=1229,2531!=1242,2531!=1279,2531!=1325,2531!=1434,2531!=1444,2531!=1452,2531!=1482,2531!=1525,2531!=1647,2531!=1655,2531!=1682,2531!=1691,2531!=1722,2531!=1731,2531!=1764,2531!=1780,2531!=1840,2531!=1851,2531!=1885,2531!=1898,2531!=1913,2531!=1921,2531!=1934,2531!=1949,2531!=2054,2531!=2061,2531!=2101,2531!=2125,2531!=2137,2531!=2254,2531!=2263,2531!=2304,2531!=2327,2531!=2450,2531!=2467,2531!=2497,2531!=2506,2531!=2540,2531!=2650,2531!=2660,2531!=2699,2531!=2710,2531!=2722,2531!=2737,2531!=2743,2531!=2776,2531!=2865,2531!=2873,2531!=2903,2531!=2912,2531!=2936,2531!=3056,2531!=3068,2531!=3079,2531!=3091,2531!=3103,2531!=3115,2531!=3143,2531!=3185,2531!=3261,2531!=3278,2531!=3306,2531!=3334,2531!=3345,2531!=3353,2531!=3414,2531!=3475,2531!=3484,2531!=3548,2531!=3556,2531!=3675,2531!=3687,2531!=3748,2531!=3868,2531!=3881,2531!=3887,2531!=3951,2531!=3962,2531!=3973,2531!=4023,2531!=4071,2531!=4084,2531!=4130,2531!=4164,2531!=4275,2531!=4307,2531!=4321,2531!=4409,2531!=4443,2531!=4479,2531!=4605,2531!=4636,2531!=4684
linear/Z_m	m=23 a=20 b=4	finite:23	56	2	464!=2457,464!=3066
linear/Z_m	m=23 a=21 b=3	finite:23	46	2	2700!=2709,2700!=2736
linear/Z_m	m=25 a=2 b=9	finite:25	16	3	474!=3278,3103!=466,3103!=1075
linear/Z_m	m=25 a=3 b=13	finite:25	20	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=25 a=3 b=23	finite:25	57	1	511!=3079
linear/Z_m	m=25 a=4 b=7	finite:25	23	2	3113!=3058,3113!=4068
linear/Z_m	m=25 a=4 b=17	finite:25	15	2	464!=2457,464!=3066
linear/Z_m	m=25 a=7 b=4	finite:25	23	1	474!=3278
linear/Z_m	m=25 a=8 b=13	finite:25	20	1	511!=3079
linear/Z_m	m=25 a=8 b=23	finite:25	21	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=25 a=9 b=2	finite:25	16	4	464!=2457,464!=3066,3113!=3058,3113!=4068
linear/Z_m	m=25 a=12 b=14	finite:25	46	133	2531!=16,2531!=55,2531!=72,2531!=118,2531!=127,2531!=167,2531!=179,2531!=209,2531!=222,2531!=228,2531!=261,2531!=274,2531!=315,2531!=384,2531!=419,2531!=436,2531!=466,2531!=474,2531!=500,2531!=513,2531!=528,2531!=575,2531!=633,2531!=642,2531!=669,2531!=677,2531!=703,2531!=833,2531!=845,2531!=883,2531!=909,2531!=916,2531!=1026,2531!=1039,2531!=1045,2531!=1075,2531!=1086,2531!=1098,2531!=1122,2531!=1184,2531!=1229,2531!=1242,2531!=1279,2531!=1325,2531!=1434,2531!=1444,2531!=1452,2531!=1482,2531!=1525,2531!=1647,2531!=1655,2531!=1682,2531!=1691,2531!=1722,2531!=1731,2531!=1764,2531!=1780,2531!=1840,2531!=1851,2531!=1885,2531!=1898,2531!=1913,2531!=1921,2531!=1934,2531!=1949,2531!=2054,2531!=2061,2531!=2101,2531!=2125,2531!=2137,2531!=2254,2531!=2263,2531!=2304,2531!=2327,2531!=2450,2531!=2467,2531!=2497,2531!=2506,2531!=2540,2531!=2650,2531!=2660,2531!=2699,2531!=2710,2531!=2722,2531!=2737,2531!=2743,2531!=2776,2531!=2865,2531!=2873,2531!=2903,2531!=2912,2531!=2936,2531!=3056,2531!=3068,2531!=3079,2531!=3091,2531!=3115,2531!=3143,2531!=3185,2531!=3261,2531!=3278,2531!=3306,2531!=3334,2531!=3353,2531!=3414,2531!=3475,2531!=3484,2531!=3556,2531!=3675,2531!=3687,2531!=3748,2531!=3868,2531!=3881,2531!=3887,2531!=3951,2531!=3962,2531!=3973,2531!=4023,2531!=4071,2531!=4084,2531!=4130,2531!=4164,2531!=4275,2531!=4307,2531!=4321,2531!=4409,2531!=4443,2531!=4479,2531!=4605,2531!=4636,2531!=4684,3103!=466,3103!=1075
linear/Z_m	m=25 a=13 b=3	finite:25	20	1	511!=3079
linear/Z_m	m=25 a=13 b=8	finite:25	20	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=25 a=14 b=12	finite:25	46	133	464!=2457,464!=3066,1076!=26,1076!=65,1076!=73,1076!=102,1076!=117,1076!=125,1076!=160,1076!=167,1076!=212,1076!=229,1076!=258,1076!=263,1076!=335,1076!=362,1076!=429,1076!=437,1076!=473,1076!=504,1076!=513,1076!=546,1076!=562,1076!=617,1076!=632,1076!=640,1076!=679,1076!=704,1076!=826,1076!=833,1076!=872,1076!=879,1076!=910,1076!=917,1076!=949,1076!=962,1076!=1029,1076!=1046,1076!=1085,1076!=1110,1076!=1119,1076!=1226,1076!=1231,1076!=1278,1076!=1323,1076!=1455,1076!=1482,1076!=1491,1076!=1518,1076!=1526,1076!=1632,1076!=1654,1076!=1658,1076!=1662,1076!=1682,1076!=1721,1076!=1729,1076!=1790,1076!=1838,1076!=1850,1076!=1861,1076!=1873,1076!=1885,1076!=1897,1076!=1925,1076!=1967,1076!=2044,1076!=2053,1076!=2060,1076!=2100,1076!=2125,1076!=2267,1076!=2300,1076!=2328,1076!=2330,1076!=2449,1076!=2457,1076!=2470,1076!=2485,1076!=2503,1076!=2533,1076!=2541,1076!=2586,1076!=2653,1076!=2663,1076!=2672,1076!=2699,1076!=2744,1076!=2850,1076!=2863,1076!=2875,1076!=2910,1076!=2939,1076!=3053,1076!=3058,1076!=3066,1076!=3075,1076!=3079,1076!=3083,1076!=3094,1076!=3113,1076!=3271,1076!=3279,1076!=3343,1076!=3352,1076!=3459,1076!=3474,1076!=3482,1076!=3518,1076!=3526,1076!=3558,1076!=3607,1076!=3668,1076!=3675,1076!=3761,1076!=3871,1076!=3888,1076!=3924,1076!=4068,1076!=4073,1076!=4127,1076!=4131,1076!=4135,1076!=4146,1076!=4290,1076!=4321,1076!=4369,1076!=4383,1076!=4408,1076!=4443,1076!=4585,1076!=4636,1076!=4656
linear/Z_m	m=25 a=14 b=22	finite:25	20	2	3113!=3058,3113!=4068
linear/Z_m	m=25 a=17 b=4	finite:25	15	2	3103!=466,3103!=1075
linear/Z_m	m=25 a=17 b=19	finite:25	18	1	474!=3278
linear/Z_m	m=25 a=19 b=17	finite:25	18	2	3113!=3058,3113!=4068
linear/Z_m	m=25 a=19 b=22	finite:25	15	2	464!=2457,464!=3066
linear/Z_m	m=25 a=22 b=14	finite:25	20	1	474!=3278
linear/Z_m	m=25 a=22 b=19	finite:25	15	2	3103!=466,3103!=1075
linear/Z_m	m=25 a=23 b=3	finite:25	57	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=25 a=23 b=8	finite:25	21	1	511!=3079
linear/Z_m	m=27 a=2 b=17	finite:27	36	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=27 a=5 b=14	finite:27	31	2	464!=2457,464!=3066
linear/Z_m	m=27 a=5 b=23	finite:27	46	2	3103!=466,3103!=1075
linear/Z_m	m=27 a=8 b=20	finite:27	46	2	907!=836,907!=843
linear/Z_m	m=27 a=11 b=17	finite:27	50	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=27 a=14 b=5	finite:27	31	2	3103!=466,3103!=1075
linear/Z_m	m=27 a=14 b=23	finite:27	31	2	464!=2457,464!=3066
linear/Z_m	m=27 a=17 b=2	finite:27	36	1	511!=3079
linear/Z_m	m=27 a=17 b=11	finite:27	50	1	511!=3079
linear/Z_m	m=27 a=17 b=20	finite:27	34	1	511!=3079
linear/Z_m	m=27 a=20 b=8	finite:27	46	2	2700!=2709,2700!=2736
linear/Z_m	m=27 a=20 b=17	finite:27	34	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=27 a=23 b=5	finite:27	46	2	464!=2457,464!=3066
linear/Z_m	m=27 a=23 b=14	finite:27	31	2	3103!=466,3103!=1075
linear/Z_m	m=29 a=5 b=25	finite:29	50	2	464!=2457,464!=3066
linear/Z_m	m=29 a=7 b=23	finite:29	53	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=29 a=8 b=22	finite:29	44	4	907!=836,907!=843,3103!=466,3103!=1075
linear/Z_m	m=29 a=11 b=19	finite:29	47	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=29 a=19 b=11	finite:29	47	1	511!=3079
linear/Z_m	m=29 a=20 b=27	finite:29	3	42	1286!=3,1286!=8,1286!=23,1286!=47,1286!=99,1286!=151,1286!=203,1286!=255,1286!=307,1286!=326,1286!=359,1286!=375,1286!=411,1286!=614,1286!=817,1286!=1020,1286!=1083,1286!=1426,1286!=1629,1286!=1832,1286!=2035,1286!=2238,1286!=2301,1286!=2441,1286!=2504,1286!=2644,1286!=2847,1286!=3050,1286!=3253,1286!=3319,1286!=3456,1286!=3522,1286!=3659,1286!=3715,1286!=3722,1286!=3862,1286!=3915,1286!=4065,1286!=4118,1286!=4380,1286!=4435,1286!=4470
linear/Z_m	m=29 a=22 b=8	finite:29	44	4	464!=2457,464!=3066,2700!=2709,2700!=2736
linear/Z_m	m=29 a=23 b=7	finite:29	53	1	511!=3079
linear/Z_m	m=29 a=25 b=5	finite:29	50	2	3103!=466,3103!=1075
linear/Z_m	m=29 a=27 b=20	finite:29	3	42	2301!=3,2301!=8,2301!=23,2301!=47,2301!=99,2301!=151,2301!=203,2301!=255,2301!=307,2301!=326,2301!=359,2301!=375,2301!=411,2301!=614,2301!=817,2301!=1020,2301!=1083,2301!=1223,2301!=1286,2301!=1426,2301!=1629,2301!=1832,2301!=2035,2301!=2441,2301!=2504,2301!=2644,2301!=2847,2301!=3050,2301!=3253,2301!=3319,2301!=3456,2301!=3522,2301!=3659,2301!=3715,2301!=3722,2301!=3862,2301!=3915,2301!=4065,2301!=4118,2301!=4380,2301!=4435,2301!=4470
linear/Z_m	m=31 a=2 b=6	finite:31	3	1	2937!=2644
linear/Z_m	m=31 a=3 b=29	finite:31	47	1	474!=3278
linear/Z_m	m=31 a=5 b=27	finite:31	52	1	474!=3278
linear/Z_m	m=31 a=6 b=2	finite:31	3	1	670!=817
linear/Z_m	m=31 a=7 b=25	finite:31	52	136	2531!=16,2531!=55,2531!=72,2531!=118,2531!=127,2531!=167,2531!=179,2531!=209,2531!=222,2531!=228,2531!=261,2531!=274,2531!=315,2531!=384,2531!=419,2531!=436,2531!=466,2531!=474,2531!=500,2531!=513,2531!=528,2531!=575,2531!=633,2531!=642,2531!=669,2531!=677,2531!=703,2531!=833,2531!=845,2531!=883,2531!=909,2531!=916,2531!=1026,2531!=1039,2531!=1045,2531!=1075,2531!=1086,2531!=1098,2531!=1122,2531!=1184,2531!=1229,2531!=1242,2531!=1279,2531!=1325,2531!=1434,2531!=1444,2531!=1452,2531!=1482,2531!=1525,2531!=1647,2531!=1655,2531!=1682,2531!=1691,2531!=1722,2531!=1731,2531!=1764,2531!=1780,2531!=1840,2531!=1851,2531!=1885,2531!=1898,2531!=1913,2531!=1921,2531!=1934,2531!=1949,2531!=2054,2531!=2061,2531!=2101,2531!=2125,2531!=2137,2531!=2254,2531!=2263,2531!=2304,2531!=2327,2531!=2450,2531!=2467,2531!=2497,2531!=2506,2531!=2540,2531!=2650,2531!=2660,2531!=2699,2531!=2710,2531!=2722,2531!=2737,2531!=2743,2531!=2776,2531!=2865,2531!=2873,2531!=2903,2531!=2912,2531!=2936,2531!=3056,2531!=3068,2531!=3079,2531!=3091,2531!=3103,2531!=3115,2531!=3143,2531!=3185,2531!=3261,2531!=3278,2531!=3306,2531!=3334,2531!=3345,2531!=3353,2531!=3414,2531!=3475,2531!=3484,2531!=3548,2531!=3556,2531!=3675,2531!=3687,2531!=3748,2531!=3868,2531!=3881,2531!=3887,2531!=3951,2531!=3962,2531!=3973,2531!=4023,2531!=4071,2531!=4084,2531!=4130,2531!=4164,2531!=4275,2531!=4307,2531!=4321,2531!=4409,2531!=4443,2531!=4479,2531!=4605,2531!=4636,2531!=4684,2700!=2709,2700!=2736
linear/Z_m	m=31 a=9 b=23	finite:31	43	1	474!=3278
linear/Z_m	m=31 a=15 b=17	finite:31	44	2	3113!=3058,3113!=4068
linear/Z_m	m=31 a=17 b=15	finite:31	44	1	474!=3278
linear/Z_m	m=31 a=23 b=9	finite:31	43	2	3113!=3058,3113!=4068
linear/Z_m	m=31 a=25 b=7	finite:31	52	136	907!=836,907!=843,1076!=26,1076!=65,1076!=73,1076!=102,1076!=117,1076!=125,1076!=160,1076!=167,1076!=212,1076!=229,1076!=258,1076!=263,1076!=335,1076!=362,1076!=429,1076!=437,1076!=464,1076!=473,1076!=504,1076!=513,1076!=546,1076!=562,1076!=617,1076!=632,1076!=640,1076!=679,1076!=704,1076!=826,1076!=833,1076!=872,1076!=879,1076!=910,1076!=917,1076!=949,1076!=962,1076!=1029,1076!=1046,1076!=1085,1076!=1110,1076!=1119,1076!=1226,1076!=1231,1076!=1278,1076!=1323,1076!=1455,1076!=1482,1076!=1491,1076!=1518,1076!=1526,1076!=1632,1076!=1654,1076!=1658,1076!=1662,1076!=1682,1076!=1721,1076!=1729,1076!=1790,1076!=1838,1076!=1850,1076!=1861,1076!=1873,1076!=1885,1076!=1897,1076!=1925,1076!=1967,1076!=2044,1076!=2053,1076!=2060,1076!=2100,1076!=2125,1076!=2267,1076!=2300,1076!=2328,1076!=2330,1076!=2449,1076!=2457,1076!=2470,1076!=2485,1076!=2503,1076!=2533,1076!=2541,1076!=2586,1076!=2653,1076!=2663,1076!=2672,1076!=2699,1076!=2744,1076!=2850,1076!=2863,1076!=2875,1076!=2910,1076!=2939,1076!=3053,1076!=3058,1076!=3066,1076!=3075,1076!=3079,1076!=3083,1076!=3094,1076!=3113,1076!=3271,1076!=3279,1076!=3343,1076!=3352,1076!=3459,1076!=3474,1076!=3482,1076!=3518,1076!=3526,1076!=3558,1076!=3607,1076!=3668,1076!=3675,1076!=3761,1076!=3871,1076!=3888,1076!=3924,1076!=3954,1076!=4068,1076!=4073,1076!=4127,1076!=4131,1076!=4135,1076!=4146,1076!=4157,1076!=4290,1076!=4321,1076!=4369,1076!=4383,1076!=4408,1076!=4443,1076!=4585,1076!=4636,1076!=4656
linear/Z_m	m=31 a=27 b=5	finite:31	52	2	3113!=3058,3113!=4068
linear/Z_m	m=31 a=29 b=3	finite:31	47	2	3113!=3058,3113!=4068
linear/M2(F3)	a=[2, 1, 1, 0] b=[2, 2, 2, 1]	finite:81	82	2	2700!=2709,2700!=2736
linear/M2(F3)	a=[0, 2, 1, 0] b=[1, 1, 2, 1]	finite:81	82	2	907!=836,907!=843
linear/one-sided	a,b generators	infinite	6	5	1117!=2441,1117!=2444,1117!=2530,1117!=2534,1117!=2538
twist/M2^k	base2#1 k=5 shifts=(1,4)	finite:32	11	38	1485!=151,1485!=152,1485!=166,1485!=1427,1485!=1429,1485!=1430,1485!=1481,1485!=1483,1485!=2051,1485!=2087,1485!=2124,1485!=2161,1485!=2163,1485!=3456,1485!=3457,1485!=3511,1485!=3862,1485!=3877,1485!=3955,2162!=151,2162!=152,2162!=166,2162!=1427,2162!=1429,2162!=1430,2162!=1481,2162!=1483,2162!=2051,2162!=2087,2162!=2124,2162!=2161,2162!=2163,2162!=3456,2162!=3457,2162!=3511,2162!=3862,2162!=3877,2162!=3955
